longitude,latitude,easting,northing,elevation,gravity
18.46083,-32.15083,-877429.45,6348598.31,303.4,979444.19
18.47305,-32.12971,-876588.38,6351133.03,94.8,979485.58
18.48277,-32.01443,-877440.61,6364217.08,170.0,979458.3
18.4939,-32.85083,-863332.96,6270394.77,62.0,979543.54
18.50278,-32.42999,-869085.17,6317784.37,19.3,979531.06
18.5175,-32.33833,-869107.57,6328276.69,215.8,979482.56
18.535,-32.94221,-857998.94,6260679.4,13.1,979556.66
18.54417,-32.26418,-867711.63,6336958.77,83.3,979495.66
18.55333,-32.61722,-861355.2,6297419.98,472.1,979456.58
18.57889,-32.64806,-858445.18,6294293.43,430.4,979464.9
18.58583,-32.435,-861095.02,6318315.72,117.4,979502.76
18.59721,-32.54832,-858254.67,6305736.78,85.9,979525.55
18.61028,-32.86528,-852075.77,6270314.37,71.2,979540.15
18.62666,-32.5175,-855930.32,6309584.99,24.3,979531.44
18.6311,-32.71638,-852423.03,6287308.33,546.3,979435.69
18.64999,-32.17944,-858909.31,6347863.35,187.8,979455.22
18.66611,-32.81361,-847589.59,6276850.82,782.7,979384.97
18.67223,-32.99139,-844239.59,6256972.27,224.1,979510.69
18.68056,-32.13083,-856730.64,6353721.67,634.1,979351.91
18.70084,-32.32777,-851784.39,6331863.13,443.6,979411.36
18.70917,-32.89722,-842209.74,6268028.9,659.2,979408.46
18.72362,-32.44194,-847864.13,6319336.94,402.0,979430.01
18.73694,-32.12222,-851472.14,6355419.14,497.3,979371.35
18.75861,-32.16722,-848717.95,6350644.45,554.3,979361.6
18.7739,-32.96417,-835043.75,6261360.36,116.2,979523.37
18.79472,-32.455,-840894.47,6318792.46,449.4,979419.08
18.80472,-32.23083,-843349.74,6344094.89,842.0,979301.3
18.8175,-32.06833,-844584.6,6362509.85,112.3,979435.68
18.82529,-32.48418,-837539.85,6315911.15,299.4,979451.54
18.85083,-32.12694,-840515.06,6356354.72,83.2,979442.22
18.8625,-32.59473,-832317.1,6303980.03,143.4,979487.36
18.87807,-32.96472,-825179.71,6262653.27,159.0,979506.33
18.88417,-32.68361,-828904.32,6294282.39,98.6,979501.04
18.89333,-32.44806,-831612.38,6320842.43,864.3,979315.25
18.9075,-32.30583,-832410.58,6336992.57,238.5,979424.57
18.91972,-32.58694,-826997.83,6305590.83,877.1,979318.76
18.93306,-32.27194,-830482.77,6341124.29,130.2,979438.36
18.94556,-32.62971,-823894.52,6301121.69,505.4,979405.85
18.95694,-32.35639,-826936.98,6331947.89,463.0,979372.85
18.97833,-32.31972,-825448.82,6336337.16,402.3,979389.13
18.98778,-32.57584,-820697.86,6307708.29,178.5,979455.02
19.02695,-32.03889,-824993.08,6368482.43,449.6,979361.41
19.11708,-32.62782,-807634.65,6303518.89,713.2,979345.35
19.21329,-32.68517,-797648.04,6298298.16,729.8,979338.12
19.29491,-32.89536,-786791.12,6275746.44,999.9,979301.78
19.39352,-32.08752,-789245.47,6367590.08,248.4,979378.9
19.4523,-32.83102,-772844.9,6284921.18,948.6,979300.19
19.65533,-32.45386,-759039.19,6329693.96,402.0,979371.98
19.70056,-32.07082,-760159.9,6373189.42,363.6,979348.62
19.75822,-32.6514,-746454.75,6308791.37,452.5,979382.43
19.81192,-32.5975,-742126.3,6315477.55,401.1,979383.76
19.88031,-32.86681,-731834.29,6286116.66,533.0,979384.11
19.94664,-32.36861,-732540.44,6342732.91,439.5,979345.47
