longitude,latitude,easting,northing,elevation,gravity
30.17612,-25.15944,1427306.8,7185647.04,1758.0,978501.21
30.21693,-25.30833,1430303.61,7168737.61,1896.0,978481.23
30.23582,-25.71832,1429014.43,7122829.29,1594.3,978563.45
30.245,-25.17307,1434200.92,7183642.53,1767.0,978494.27
30.26582,-25.92278,1430426.29,7099787.33,1471.0,978588.69
30.28722,-25.645,1434793.23,7130647.96,1496.3,978574.02
30.29778,-25.51917,1436855.38,7144622.45,1676.5,978537.09
30.34862,-25.44194,1442617.68,7152882.56,1317.0,978603.25
30.38055,-25.02444,1449139.65,7199281.92,1481.7,978527.01
30.40138,-25.37971,1448461.55,7159453.23,1150.4,978630.54
30.41,-25.81528,1445852.63,7110745.75,1251.6,978629.08
30.45944,-25.22833,1455557.08,7175942.92,1441.5,978539.4
30.48111,-25.60806,1454718.05,7133370.01,1088.0,978651.26
30.50583,-25.90668,1454794.26,7099834.04,1893.5,978507.05
30.565,-25.39333,1464955.32,7156742.69,949.75,978673.08
30.63333,-25.58667,1470311.78,7134637.7,925.67,978677.08
30.705,-25.84833,1475404.04,7104865.65,1115.56,978637.49
30.76666,-25.59167,1483781.37,7133081.37,1634.63,978533.72
30.78168,-25.82832,1483325.36,7106521.27,1371.59,978609.4
30.845,-25.35333,1493709.85,7159129.09,996.38,978626.1
30.91333,-25.44501,1499882.11,7148362.33,680.61,978693.58
30.97333,-25.58333,1504801.07,7132439.15,981.45,978659.19
30.995,-25.375,1508764.43,7155564.9,834.23,978668.78
26.55809,-24.52959,1063564.84,7275766.04,914.0,978609.39
26.59583,-24.84729,1065955.37,7240323.46,1045.0,978595.71
26.65477,-24.95258,1071441.44,7228380.81,1021.0,978607.37
26.72694,-24.92503,1078879.64,7231133.98,1062.0,978592.0
26.78526,-24.65182,1086076.96,7261235.1,988.0,978603.15
26.83665,-24.10861,1093841.54,7321364.91,892.4,978573.42
26.89397,-24.93665,1095745.0,7229117.18,1119.0,978584.59
26.91644,-24.99652,1097730.44,7222365.68,1064.0,978606.54
26.94885,-24.69603,1102474.36,7255610.66,1024.0,978595.28
26.96692,-24.11427,1107100.63,7320174.97,897.0,978571.59
26.99442,-24.99936,1105613.15,7221701.98,1036.0,978617.24
27.01822,-24.13608,1112228.5,7317526.9,911.0,978570.29
27.03168,-24.755,1110593.57,7248688.85,1106.11,978584.61
27.04668,-24.675,1112509.48,7257511.71,1031.74,978592.01
27.07841,-24.03625,1118849.09,7328355.46,930.0,978571.0
27.12167,-24.29333,1122010.16,7299591.37,934.81,978565.11
27.14,-24.32668,1123713.22,7295802.26,924.75,978571.41
27.18318,-24.03487,1129550.24,7328040.93,923.62,978576.23
27.20551,-24.17311,1131147.42,7312574.52,959.0,978559.11
27.25504,-24.97021,1132159.78,7223745.08,1012.66,978673.6
27.27167,-24.52167,1136138.67,7273526.39,939.38,978590.41
27.29668,-24.01326,1141245.38,7329927.16,914.0,978569.71
27.32167,-25.0,1138756.33,7220119.37,1053.07,978663.79
27.34135,-24.96895,1140912.12,7223477.65,1030.08,978670.38
27.35249,-24.22729,1145862.04,7305875.78,1007.0,978558.23
27.38425,-24.17078,1149388.17,7312010.09,1004.0,978558.97
27.40167,-24.685,1148512.23,7254758.26,918.66,978645.79
27.40833,-24.58167,1149726.59,7266214.65,964.99,978618.9
27.43333,-24.8,1151124.87,7241821.24,927.5,978674.58
27.44968,-24.82106,1152673.15,7239401.12,909.0,978660.75
27.465,-24.97,1153437.74,7222767.23,1010.1,978638.89
27.47166,-24.85001,1154750.2,7236076.22,929.94,978663.59
27.49001,-24.77333,1157018.9,7244513.38,956.76,978645.89
27.49969,-24.17397,1161147.29,7311110.94,970.0,978585.79
27.52837,-24.9662,1159881.04,7222880.99,961.89,978659.63
27.54233,-24.93465,1161465.8,7226320.82,926.25,978657.94
27.56274,-24.94023,1163505.11,7225600.1,931.27,978648.66
27.58,-24.64999,1166816.53,7257790.61,959.5,978649.69
